product_id,product_name,product_old_image,candidate_rank,candidate_file,score
13,"Sneakers Blanches Design",/Assets/Images/products/product_13_savernake_knives_f4jl2ezowum_unsplash.jpg,5,rille-camera-strap-yCuatMlaAoo-unsplash.jpg,23.66
14,"Accessoires Mode Ceinture",/Assets/Images/products/product_14_ricardo_resende_jyji3inxz6s_unsplash.jpg,1,ricardo-resende-JyJi3iNXz6s-unsplash.jpg,27.19
14,"Accessoires Mode Ceinture",/Assets/Images/products/product_14_ricardo_resende_jyji3inxz6s_unsplash.jpg,2,altumcode-zE007SNgcdE-unsplash.jpg,24.3
14,"Accessoires Mode Ceinture",/Assets/Images/products/product_14_ricardo_resende_jyji3inxz6s_unsplash.jpg,3,nimble-made-GDebkNryTd4-unsplash.jpg,24.18
14,"Accessoires Mode Ceinture",/Assets/Images/products/product_14_ricardo_resende_jyji3inxz6s_unsplash.jpg,4,alora-griffiths-KKZmUQjTO2E-unsplash.jpg,24.12
14,"Accessoires Mode Ceinture",/Assets/Images/products/product_14_ricardo_resende_jyji3inxz6s_unsplash.jpg,5,russell-moore-Dfk3z6fDN84-unsplash.jpg,23.87
15,"Montre Designer Homme",/Assets/Images/products/product_15_swabdesign_jwz3ghxo8g4_unsplash.jpg,1,swabdesign-JwZ3GhXo8g4-unsplash.jpg,24
15,"Montre Designer Homme",/Assets/Images/products/product_15_swabdesign_jwz3ghxo8g4_unsplash.jpg,2,fashion-needles-bFzNGTK4TxM-unsplash.jpg,23.39
15,"Montre Designer Homme",/Assets/Images/products/product_15_swabdesign_jwz3ghxo8g4_unsplash.jpg,3,manmohan-singh-83aEFVhHbwg-unsplash.jpg,23.29
15,"Montre Designer Homme",/Assets/Images/products/product_15_swabdesign_jwz3ghxo8g4_unsplash.jpg,4,kofi-nartey-SHEUuUAZrDE-unsplash.jpg,23.11
15,"Montre Designer Homme",/Assets/Images/products/product_15_swabdesign_jwz3ghxo8g4_unsplash.jpg,5,altumcode-zE007SNgcdE-unsplash.jpg,22.82
16,"Lunettes Soleil Aviateur",/Assets/Images/products/product_16_luke_peters_rdxfszxybqu_unsplash.jpg,1,luke-peters-rDxfSzXyBqU-unsplash.jpg,27.05
